paramter_names,parameter_values
k1_1f,6.67000E-04
k1_1r,1.00000E-02
k1_2f,4.00000E-06
k1_2r,1.00000E-02
kcat1_1,1.92000E-01
k1_3f,4.00000E-04
k1_3r,1.00000E-02
kcat1_2,1.55000E-01
k2_1f,1.33000E-03
k2_1r,8.00000E-02
k2_2f,1.34000E+03
k2_2r,1.00000E-02
k2_3f,5.43000E-04
k2_3r,2.17000E-02
k2_4f,1.34000E+03
k2_4r,1.00000E-02
k3_1f,2.00000E-03
k3_1r,8.00000E-02
k3_2f,1.34000E+03
k3_2r,1.00000E-02
k3_3f,4.34000E-03
k3_3r,2.17000E-02
k3_4f,3.09000E-01
k3_4r,1.00000E-02
k3_5f,1.55000E+00
k3_5r,1.00000E-02
kcat3,3.13000E+00
k10_4f,284.9474476
k10_4r,11397.8979
k10_5f,1411.103097
k10_5r,402.1392919
k10_6f,618.3359613
k10_6r,3091.679806
kcat10_H,14.54083748
k8_4f,0.00000E+00
k8_4r,0.00000E+00
k8_5f,0.00000E+00
k8_5r,0.00000E+00
k8_6f,618.3359613
k8_6r,3091.679806
kcat8_H,14.54083748
k10_7f,284.9474476
k10_7r,11397.8979
k10_8f,284.9474476
k10_8r,11397.8979
k10_9f,1411.103097
k10_9r,402.1392919
kcat10_CO2,14.54083748
k8_7f,284.9474476
k8_7r,11397.8979
k8_8f,284.9474476
k8_8r,11397.8979
k8_9f,1411.103097
k8_9r,402.1392919
kcat8_CO2,14.54083748
k4_1f,7.93000E-03
k4_1r,7.93000E-02
k4_2f,1.28000E-03
k4_2r,2.17000E-02
kcat4,5.90000E-01
k5_1f,3.88000E-04
k5_1r,2.17000E-02
kcat5,2.72000E-01
k5_2r,1.09000E+00
k6_1f,3.97000E-03
k6_1r,7.93000E-02
k6_2f,1.09000E-03
k6_2r,2.17000E-02
kcat6,4.00000E+00
k7_1f,4.34000E-03
k7_1r,2.17000E-02
kcat7,1.08000E+02
k8_1f,1.55000E-03
k8_1r,2.17000E-02
k8_2f,1.34000E+03
k8_2r,1.00000E-02
k8_3f,2.65000E-03
k8_3r,2.17000E-02
kcat8,3.13000E+00
k9_1f,3.88000E-04
k9_1r,2.17000E-02
kcat9,2.72000E-01
k9_2r,1.09000E+00
k10_1f,1.55000E-03
k10_1r,2.17000E-02
k10_2f,1.34000E+03
k10_2r,1.00000E-02
k10_3f,2.65000E-03
k10_3r,2.17000E-02
kcat10,2.14000E+00
